Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Dominik Kubalik,20192020,CHI,L,L,1,2,3,5,1,0,5,0,2,2,3,0,0,0,1,5,40,13:56,--
Sebastian Aho,20192020,CAR,L,C,2,1,4,5,2,2,2.5,0,3,1,2,0,0,0,0,5,20,19:06,50
Andrei Svechnikov,20192020,CAR,L,R,2,3,1,4,3,4,2,2,2,1,2,0,0,0,1,6,50,16:41,--
Jared Spurgeon,20192020,MIN,R,D,1,2,1,3,1,0,3,1,1,1,2,0,0,0,0,2,100,22:46,--
Jonathan Toews,20192020,CHI,L,C,1,2,1,3,1,0,3,1,1,1,2,0,0,0,0,4,50,17:02,64
Adam Lowry,20192020,WPG,L,C,2,1,2,3,3,2,1.5,1,3,0,0,0,0,0,0,4,25,15:58,48.5
Connor McDavid,20192020,EDM,L,C,1,1,2,3,-2,2,3,0,0,1,3,0,0,0,0,3,33.3,23:21,33.3
Leon Draisaitl,20192020,EDM,L,C,1,1,2,3,1,0,3,0,1,1,2,0,0,0,0,4,25,21:54,47.6
Ryan Nugent-Hopkins,20192020,EDM,L,C,1,1,2,3,-2,0,3,1,1,0,2,0,0,0,0,2,50,22:41,100
Miro Heiskanen,20192020,DAL,L,D,1,0,3,3,1,0,3,0,2,0,1,0,0,0,0,1,0,23:14,--
Sami Vatanen,20192020,CAR,R,D,2,0,3,3,2,4,1.5,0,1,0,2,0,0,0,0,4,0,20:05,--
Filip Forsberg,20192020,NSH,R,L,1,2,0,2,-1,0,2,0,0,2,2,0,0,0,0,7,28.6,19:22,--
Christian Dvorak,20192020,ARI,L,C,1,1,1,2,1,0,2,1,1,0,1,0,0,0,0,2,50,16:22,43.8
Jaccob Slavin,20192020,CAR,L,D,2,1,1,2,2,0,1,1,2,0,0,0,0,0,0,4,25,23:33,--
Mika Zibanejad,20192020,NYR,R,C,2,1,1,2,1,0,1,1,1,0,0,0,1,0,0,7,14.3,23:03,47.6
Andrew Mangiapane,20192020,CGY,L,L,2,1,1,2,0,4,1,1,1,0,1,0,0,0,0,5,20,14:38,0
Nate Schmidt,20192020,VGK,L,D,1,1,1,2,3,0,2,1,2,0,0,0,0,0,0,5,20,24:38,--
Brandon Saad,20192020,CHI,L,L,1,1,1,2,1,0,2,1,2,0,0,0,0,0,0,5,20,14:55,0
William Karlsson,20192020,VGK,L,C,1,1,1,2,3,0,2,1,2,0,0,0,0,0,0,2,50,17:35,46.2
Artemi Panarin,20192020,NYR,R,L,2,1,1,2,-1,0,1,0,0,1,1,0,1,0,0,5,20,21:06,--
Mark Stone,20192020,VGK,R,R,1,1,1,2,1,0,2,1,2,0,0,0,0,0,0,2,50,16:17,--
Cam Atkinson,20192020,CBJ,R,R,1,1,1,2,2,2,2,1,2,0,0,0,0,0,1,1,100,14:39,--
Michael Raffl,20192020,PHI,L,L,1,1,1,2,2,2,2,1,2,0,0,0,0,0,0,2,50,10:35,50
Taylor Hall,20192020,ARI,L,L,1,0,2,2,1,0,2,0,2,0,0,0,0,0,0,3,0,17:56,--
Phil Kessel,20192020,ARI,R,R,1,0,2,2,0,2,2,0,1,0,1,0,0,0,0,4,0,17:25,--
Jack Roslovic,20192020,WPG,R,C,2,0,2,2,2,0,1,0,2,0,0,0,0,0,0,5,0,16:43,60
Milan Lucic,20192020,CGY,L,L,2,0,2,2,0,4,1,0,1,0,1,0,0,0,0,1,0,12:46,0
Oscar Klefbom,20192020,EDM,L,D,1,0,2,2,-1,0,2,0,1,0,1,0,0,0,0,1,0,22:27,--
Roman Josi,20192020,NSH,L,D,1,0,2,2,-2,0,2,0,1,0,1,0,0,0,0,1,0,28:32,--
Eric Staal,20192020,MIN,L,C,1,0,2,2,0,0,2,0,0,0,2,0,0,0,0,2,0,17:08,31.6
Duncan Keith,20192020,CHI,L,D,1,0,2,2,1,0,2,0,0,0,2,0,0,0,0,1,0,22:24,--
Andrew Copp,20192020,WPG,L,C,2,1,0,1,0,4,0.5,1,1,0,0,0,0,0,0,4,25,20:32,52.6
Michael Grabner,20192020,ARI,L,L,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,2,50,9:12,--
Nikolaj Ehlers,20192020,WPG,L,L,2,1,0,1,-2,2,0.5,0,0,1,1,0,0,0,1,5,20,16:30,100
Ryan Ellis,20192020,NSH,R,D,1,1,0,1,-1,0,1,1,1,0,0,0,0,0,0,5,20,26:05,--
Nazem Kadri,20192020,COL,L,C,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,6,16.7,18:06,40
Sam Bennett,20192020,CGY,L,C,2,1,0,1,0,4,0.5,1,1,0,0,0,0,0,0,5,20,12:46,45.8
Elias Lindholm,20192020,CGY,R,C,2,1,0,1,1,0,0.5,1,1,0,0,0,0,0,0,5,20,20:36,50
Nate Thompson,20192020,PHI,L,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,100,13:01,62.5
Martin Necas,20192020,CAR,R,C,2,1,0,1,0,0,0.5,1,1,0,0,0,0,0,1,2,50,13:21,50
Jordan Martinook,20192020,CAR,L,L,2,1,0,1,1,6,0.5,1,1,0,0,0,0,0,0,3,33.3,10:33,33.3
David Perron,20192020,STL,R,L,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,3,33.3,17:16,--
Dylan Strome,20192020,CHI,L,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,3,33.3,15:48,30
Anthony Beauvillier,20192020,NYI,L,L,1,1,0,1,-1,0,1,0,0,1,1,0,0,0,1,4,25,15:50,--
Jeff Petry,20192020,MTL,R,D,1,1,0,1,2,0,1,1,1,0,0,0,0,1,1,1,100,30:56,--
Alexander Wennberg,20192020,CBJ,L,C,1,1,0,1,2,0,1,1,1,0,0,0,0,0,0,3,33.3,14:33,33.3
Tobias Rieder,20192020,CGY,L,C,2,1,0,1,0,0,0.5,0,0,0,0,1,1,0,1,1,100,10:37,0
James Neal,20192020,EDM,L,L,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,3,33.3,10:59,--
Jean-Gabriel Pageau,20192020,NYI,R,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,4,25,14:49,80
Jesperi Kotkaniemi,20192020,MTL,L,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,2,50,13:49,37.5
